name;code;type;towards;latitude;longitude;stoppointindicator;favorite;rank
Green Park;GPK;2;;51.5068501085023;-0.142927422207874380;;0;
Greenford;GFD;2;;51.5423020267591;-0.346444146567460000;;0;
Gunnersbury;GUN;2;;51.491793104326;-0.275175034795658400;;0;
Hainault;HAI;2;;51.6037272179782;0.093119014044497110;;0;
Hammersmith;HMS;2;;51.4934977720066;-0.224930071064953470;;0;
Hammersmith (D & P);HMD;2;;51.492569079749;-0.222401730524214160;;0;
Hampstead;HMP;2;;51.5566884762644;-0.178219762924764630;;0;
Hanger Lane;HLN;2;;51.530006403588;-0.293007522620696200;;0;
Hatton Cross;HTX;2;;51.4666141734628;-0.423409349454662700;;0;
Harlesden;HSD;2;;51.5361929101547;-0.257502755154927540;;0;
Harrow & Wealdstone;HAW;2;;51.5922088279649;-0.335231166241641700;;0;
Harrow on the Hill;HOH;2;;51.5793288672811;-0.337015904256826800;;0;
Heathrow Terminals 1, 2, 3;HRC;2;;51.4712192100604;-0.452439130961683100;;0;
Heathrow Terminal 4;HTF;2;;51.458553104092;-0.446058766977937300;;0;
Hendon Central;HND;2;;51.583293830072;-0.226496207803293200;;0;
High Barnet;HBT;2;;51.6506011705886;-0.194751021947520400;;0;
High Street Kensington;HST;2;;51.5006734202632;-0.192503135590810750;;0;
Highbury & Islington;HBY;2;;51.5462294917379;-0.103964238784979300;;0;
Highgate;HIG;2;;51.5775978296188;-0.146638422561128380;;0;
Hillingdon;HDN;2;;51.5537168445709;-0.449926295661858930;;0;
Holborn;HOL;2;;51.517438783076;-0.120008849244825100;;0;
Holland Park;HPK;2;;51.5073340431507;-0.205728672749766300;;0;
Holloway Road;HRD;2;;51.5527505378786;-0.112925632539152260;;0;
Hornchurch;HCH;2;;51.5540052560063;0.219018986707928050;;0;
Hounslow Central;HNC;2;;51.4710833003654;-0.366922420319065300;;0;
Hounslow East;HNE;2;;51.4731706158332;-0.356695318244920060;;0;
Hounslow West;HNW;2;;51.4730347989657;-0.385731868407531600;;0;
Hyde Park Corner;HPC;2;;51.5027604112126;-0.152748811981766980;;0;
Ickenham;ICK;2;;51.5619847425592;-0.442026555689012170;;0;
Kennington;KEN;2;;51.4881195306115;-0.105485152526283220;;0;
Kensington Olympia;OLY;2;;51.4978091673849;-0.210382523117471270;;0;
Kentish Town;KTN;2;;51.5503037622379;-0.140464192953272140;;0;
Kensal Green;KGN;2;;51.530457666117;-0.224716964703163850;;0;
Kenton;KNT;2;;51.5817884626014;-0.317164405857978500;;0;
Kew Gardens;KEW;2;;51.4770299301529;-0.285252328214689150;;0;
Kilburn;KIL;2;;51.5468795024568;-0.204633341254655960;;0;
Kilburn Park;KPK;2;;51.535069084357;-0.193965947368527200;;0;
King's Cross St. Pancras;KXX;2;;51.5303972379175;-0.123857948142452990;;0;
Kingsbury;KBY;2;;51.5847568661903;-0.278799057434066500;;0;
Knightsbridge;KNB;2;;51.5015514332011;-0.160507091328832150;;0;
Ladbroke Grove;;2;;51.5171884498817;-0.210861917848587150;;0;
Lambeth North;LAM;2;;51.4990581486986;-0.111760270277701970;;0;
Lancaster Gate;LAN;2;;51.5118215345886;-0.175428659257816700;;0;
Latimer Road;;2;;51.5135435938972;-0.217779301792146050;;0;
Leicester Square;LSQ;2;;51.5112210283672;-0.128235532172760460;;0;
Leyton;LEY;2;;51.5564329270549;-0.005619879781309080;;0;
Leytonstone;LYS;2;;51.5681852636746;0.008215047486340644;;0;
Liverpool Street;LST;2;;51.5173512307517;-0.082965709456943840;;0;
London Bridge;LON;2;;51.5054993532498;-0.086922404191941930;;0;
Loughton;LTN;2;;51.6415127590806;0.055311997154570370;;0;
Maida Vale;MDV;2;;51.5297600168103;-0.185625902229911570;;0;
Manor House;MNR;2;;51.5707560052844;-0.095712466704881360;;0;
Mansion House;MAN;2;;51.512021200956;-0.094187135312932570;;0;
Marble Arch;MAR;2;;51.5135432931812;-0.158438046626587060;;0;
Marylebone;MYB;2;;51.5222233419704;-0.163104487142123720;;0;
Mile End;MLE;2;;51.5250918718345;-0.033404170381106150;;0;
Mill Hill East;MHE;2;;51.6082588952393;-0.209894419946043500;;0;
Monument;MON;2;;51.5133478191843;-0.088942732741562510;;0;
Moor Park;MPK;2;;51.6297310904776;-0.432666848603920740;;0;
